dataset,metric,lambda,local_lambda,tuning,model,error_rate,global,local,count
credit_card_clients,equalized_odds,0.5,0,False,ExponentiatedGradientReduction,19.1065,1.0405,2.11,5
credit_card_clients,equalized_odds,0.5,0,False,GridSearchReduction,19.16,1.3886,1.9533,5
credit_card_clients,equalized_odds,0.5,0,False,MetaFairClassifier,18.7823,1.9618,3.5755,5
credit_card_clients,equalized_odds,0.5,0,False,FAGTB,18.54,1.9371,4.6316,5
credit_card_clients,equalized_odds,0.5,0,False,GradualCompatibility,39.9422,3.9563,5.2927,5
credit_card_clients,equalized_odds,0.5,0,False,RejectOptionClassification,20.8422,3.9809,5.6982,5
credit_card_clients,equalized_odds,0.5,0,False,EqOddsPostprocessing,19.649,1.1717,2.6703,5
credit_card_clients,equalized_odds,0.5,0,False,CalibratedEqOddsPostprocessing,20.0867,10.4981,7.0234,5
credit_card_clients,equalized_odds,0.5,0,False,JiangNachum,18.8334,1.4858,2.7138,5
credit_card_clients,equalized_odds,0.5,0,False,FaX,19.0445,1.126,2.0466,5
adult_data_set,equalized_odds,0.5,0,False,Reweighing,21.6782,1.4733,4.3426,5
adult_data_set,equalized_odds,0.5,0,False,LFR,24.8723,0.0,0.0,5
adult_data_set,equalized_odds,0.5,0,False,DisparateImpactRemover,21.597,5.7306,4.7636,5
adult_data_set,equalized_odds,0.5,0,False,Fair-SMOTE,28.9814,1.1948,8.9446,5
adult_data_set,equalized_odds,0.5,0,False,LTDD,22.3904,4.4854,5.1214,5
adult_data_set,equalized_odds,0.5,0,False,PrejudiceRemover,20.0217,30.0713,23.9085,5
adult_data_set,equalized_odds,0.5,0,False,GerryFairClassifier,54.6353,1.5945,1.0327,5
adult_data_set,equalized_odds,0.5,0,False,AdversarialDebiasing,20.5255,6.3267,7.846,5
adult_data_set,equalized_odds,0.5,0,False,ExponentiatedGradientReduction,21.6188,1.7273,4.2258,5
adult_data_set,equalized_odds,0.5,0,False,GridSearchReduction,22.0865,4.4949,4.3415,5
adult_data_set,equalized_odds,0.5,0,False,MetaFairClassifier,30.9478,10.2568,18.3229,5
adult_data_set,equalized_odds,0.5,0,False,FAGTB,22.9002,3.6159,11.1131,5
adult_data_set,equalized_odds,0.5,0,False,GradualCompatibility,22.8335,2.0805,4.6663,5
adult_data_set,equalized_odds,0.5,0,False,EqOddsPostprocessing,24.4335,0.7762,2.2945,5
adult_data_set,equalized_odds,0.5,0,False,CalibratedEqOddsPostprocessing,19.8725,31.6054,24.8053,5
adult_data_set,equalized_odds,0.5,0,False,JiangNachum,21.7679,3.2307,5.6722,5
adult_data_set,equalized_odds,0.5,0,False,FaX,21.7751,3.7593,4.2134,5
acs2017_census,equalized_odds,0.5,0,False,Reweighing,10.3025,1.9078,6.0923,5
acs2017_census,equalized_odds,0.5,0,False,LFR,40.5455,0.0,0.0,5
acs2017_census,equalized_odds,0.5,0,False,DisparateImpactRemover,10.6601,4.1806,10.1403,5
acs2017_census,equalized_odds,0.5,0,False,Fair-SMOTE,10.8672,1.6476,7.02,5
acs2017_census,equalized_odds,0.5,0,False,LTDD,13.4809,16.7274,28.6483,5
acs2017_census,equalized_odds,0.5,0,False,PrejudiceRemover,9.9761,5.8369,8.7834,5
acs2017_census,equalized_odds,0.5,0,False,GerryFairClassifier,11.0717,3.5367,7.2998,5
acs2017_census,equalized_odds,0.5,0,False,AdversarialDebiasing,9.6177,1.1929,6.1335,5
acs2017_census,equalized_odds,0.5,0,False,ExponentiatedGradientReduction,10.0944,1.5303,4.0107,5
acs2017_census,equalized_odds,0.5,0,False,GridSearchReduction,10.0477,2.2184,4.2448,5
acs2017_census,equalized_odds,0.5,0,False,MetaFairClassifier,23.6092,9.6849,9.0534,5
acs2017_census,equalized_odds,0.5,0,False,FAGTB,59.4545,0.0,0.0,5
acs2017_census,equalized_odds,0.5,0,False,GradualCompatibility,10.5876,2.306,3.1637,5
acs2017_census,equalized_odds,0.5,0,False,EqOddsPostprocessing,12.6494,0.8532,7.7805,5
acs2017_census,equalized_odds,0.5,0,False,CalibratedEqOddsPostprocessing,11.0927,11.0001,12.4124,5
acs2017_census,equalized_odds,0.5,0,False,JiangNachum,10.5996,0.6764,4.5206,5
acs2017_census,equalized_odds,0.5,0,False,FaX,10.056,1.5948,4.06,5
communities,demographic_parity,0.5,0,True,Reweighing,18.0635,25.0803,7.7868,5
communities,demographic_parity,0.5,0,True,LFR,33.9233,10.9102,6.1984,5
communities,demographic_parity,0.5,0,True,DisparateImpactRemover,20.3672,19.0013,7.622,5
communities,demographic_parity,0.5,0,True,Fair-SMOTE,18.6646,27.0591,7.9232,5
communities,demographic_parity,0.5,0,True,LTDD,22.237,8.2711,13.0423,5
communities,demographic_parity,0.5,0,True,PrejudiceRemover,24.3071,9.2936,8.7015,5
communities,demographic_parity,0.5,0,True,FairnessConstraintModel,26.0767,8.8495,10.3935,5
communities,demographic_parity,0.5,0,True,DisparateMistreatmentModel,17.5959,33.5268,15.2604,5
communities,demographic_parity,0.5,0,True,GerryFairClassifier,46.4107,10.1984,6.33,5
communities,demographic_parity,0.5,0,True,AdversarialDebiasing,35.2588,14.6057,23.514,5
communities,demographic_parity,0.5,0,True,ExponentiatedGradientReduction,25.4758,1.6737,18.7439,5
communities,demographic_parity,0.5,0,True,GridSearchReduction,22.237,14.341,4.9092,5
communities,demographic_parity,0.5,0,True,MetaFairClassifier,41.1687,26.4678,19.7301,5
communities,demographic_parity,0.5,0,True,FAGTB,27.0784,11.5604,12.2994,5
communities,demographic_parity,0.5,0,True,FairGeneralizedLinearModel,39.4657,0.0,0.0,5
communities,demographic_parity,0.5,0,True,GradualCompatibility,38.3305,1.0638,0.6117,5
communities,demographic_parity,0.5,0,True,RejectOptionClassification,49.4491,6.3412,4.6655,5
communities,demographic_parity,0.5,0,True,EqOddsPostprocessing,28.1134,14.0284,12.4078,5
communities,demographic_parity,0.5,0,True,CalibratedEqOddsPostprocessing,17.7963,61.1544,44.8843,5
communities,demographic_parity,0.5,0,True,JiangNachum,28.6143,2.6136,6.8153,5
communities,demographic_parity,0.5,0,True,FaX,16.1937,37.7318,17.0429,5
compas,demographic_parity,0.5,0,True,AdversarialDebiasing,32.34341253,3.417146743,15.25850784,5
compas,demographic_parity,0.5,0,True,CalibratedEqOddsPostprocessing,33.85529158,30.89622613,20.71321737,5
compas,demographic_parity,0.5,0,True,DisparateImpactRemover,32.50539957,25.25548503,13.22288905,5
compas,demographic_parity,0.5,0,True,DisparateMistreatmentModel,32.72138229,22.3027226,8.121720118,5
compas,demographic_parity,0.5,0,True,EqOddsPostprocessing,37.85097192,6.113350036,6.495778278,5
compas,demographic_parity,0.5,0,True,ExponentiatedGradientReduction,32.45140389,6.369909173,4.794055035,5
compas,demographic_parity,0.5,0,True,FAGTB,34.0712743,1.362464048,13.37352059,5
compas,demographic_parity,0.5,0,True,FaX,32.45140389,27.01003036,14.89880897,5
compas,demographic_parity,0.5,0,True,Fair-SMOTE,33.20734341,12.8985413,2.264715917,5
compas,demographic_parity,0.5,0,True,FairGeneralizedLinearModel,45.24838013,0.0,0.0,5
compas,demographic_parity,0.5,0,True,FairnessConstraintModel,40.6587473,7.223796903,2.931384366,5
compas,demographic_parity,0.5,0,True,GerryFairClassifier,54.75161987,0.0,0.0,5
compas,demographic_parity,0.5,0,True,GradualCompatibility,44.92440605,7.49864662,15.13688928,5
compas,demographic_parity,0.5,0,True,GridSearchReduction,43.412527,1.700655637,6.634988982,5
compas,demographic_parity,0.5,0,True,JiangNachum,34.66522678,2.561663191,9.734535052,5
compas,demographic_parity,0.5,0,True,LFR,32.01943844,5.941983264,10.63530004,5
compas,demographic_parity,0.5,0,True,LTDD,32.66738661,7.407684744,3.641070129,5
compas,demographic_parity,0.5,0,True,MetaFairClassifier,32.34341253,19.22413571,8.357916333,5
compas,demographic_parity,0.5,0,True,PrejudiceRemover,45.30237581,7.018058572,8.753255515,5
compas,demographic_parity,0.5,0,True,RejectOptionClassification,43.46652268,4.145578283,1.355609149,5
compas,demographic_parity,0.5,0,True,Reweighing,31.74946004,14.84581287,4.176338652,5
german,demographic_parity,0.5,0,True,Reweighing,22.1333,5.9057,6.8804,5
german,demographic_parity,0.5,0,True,LFR,20.7333,0.0689,1.9021,5
german,demographic_parity,0.5,0,True,DisparateImpactRemover,22.0,3.255,5.1691,5
german,demographic_parity,0.5,0,True,Fair-SMOTE,30.1999,8.7254,9.8752,5
german,demographic_parity,0.5,0,True,LTDD,22.4,7.0384,7.683,5
german,demographic_parity,0.5,0,True,PrejudiceRemover,21.6001,4.6385,5.8029,5
german,demographic_parity,0.5,0,True,FairnessConstraintModel,21.8001,3.1573,4.4035,5
german,demographic_parity,0.5,0,True,DisparateMistreatmentModel,21.8,1.3372,4.2802,5
german,demographic_parity,0.5,0,True,GerryFairClassifier,22.5333,2.3763,3.4396,5
german,demographic_parity,0.5,0,True,AdversarialDebiasing,20.9334,1.7564,4.6475,5
german,demographic_parity,0.5,0,True,ExponentiatedGradientReduction,21.4666,1.2928,5.2884,5
german,demographic_parity,0.5,0,True,GridSearchReduction,21.6,2.7472,5.1518,5
german,demographic_parity,0.5,0,True,MetaFairClassifier,22.0667,2.5383,5.5531,5
german,demographic_parity,0.5,0,True,FAGTB,22.1333,0.0,0.0,5
german,demographic_parity,0.5,0,True,FairGeneralizedLinearModel,21.4667,0.1244,0.9517,5
german,demographic_parity,0.5,0,True,GradualCompatibility,20.6667,0.229,2.9959,5
german,demographic_parity,0.5,0,True,RejectOptionClassification,30.9999,8.7455,12.4331,5
german,demographic_parity,0.5,0,True,EqOddsPostprocessing,35.8,2.3047,5.2137,5
german,demographic_parity,0.5,0,True,CalibratedEqOddsPostprocessing,22.4001,8.6441,10.4599,5
german,demographic_parity,0.5,0,True,JiangNachum,21.7999,1.2307,4.5591,5
german,demographic_parity,0.5,0,True,FaX,22.2001,5.6115,6.6096,5
credit_card_clients,demographic_parity,0.5,0,True,Reweighing,19.1088,0.6134,1.4358,5
credit_card_clients,demographic_parity,0.5,0,True,LFR,19.2088,1.5477,0.8112,5
credit_card_clients,demographic_parity,0.5,0,True,DisparateImpactRemover,19.0666,1.5217,1.2244,5
credit_card_clients,demographic_parity,0.5,0,True,Fair-SMOTE,22.0088,5.7274,8.4974,5
credit_card_clients,demographic_parity,0.5,0,True,LTDD,19.1178,0.5145,1.5922,5
credit_card_clients,demographic_parity,0.5,0,True,PrejudiceRemover,19.1778,1.7479,1.9599,5
credit_card_clients,demographic_parity,0.5,0,True,FairnessConstraintModel,19.06,1.505,1.212,5
credit_card_clients,demographic_parity,0.5,0,True,GerryFairClassifier,20.2622,1.7601,1.0598,5
credit_card_clients,demographic_parity,0.5,0,True,AdversarialDebiasing,18.429,1.1217,3.8003,5
credit_card_clients,demographic_parity,0.5,0,True,ExponentiatedGradientReduction,19.0733,1.3154,1.2304,5
credit_card_clients,demographic_parity,0.5,0,True,GridSearchReduction,19.0867,1.3529,1.1719,5
credit_card_clients,demographic_parity,0.5,0,True,MetaFairClassifier,36.3956,12.5557,13.2697,5
credit_card_clients,demographic_parity,0.5,0,True,FAGTB,18.54,1.3157,2.2864,5
credit_card_clients,demographic_parity,0.5,0,True,FairGeneralizedLinearModel,19.2467,1.2727,1.1172,5
credit_card_clients,demographic_parity,0.5,0,True,GradualCompatibility,39.7289,5.0983,3.7845,5
credit_card_clients,demographic_parity,0.5,0,True,RejectOptionClassification,19.6044,4.4204,3.0926,5
credit_card_clients,demographic_parity,0.5,0,True,EqOddsPostprocessing,19.6533,1.1443,1.9161,5
credit_card_clients,demographic_parity,0.5,0,True,CalibratedEqOddsPostprocessing,20.109,6.9643,6.0073,5
credit_card_clients,demographic_parity,0.5,0,True,JiangNachum,18.8355,0.948,1.6728,5
credit_card_clients,demographic_parity,0.5,0,True,FaX,19.0445,1.4878,1.2092,5
adult_data_set,demographic_parity,0.5,0,True,Reweighing,21.6782,5.3461,4.3517,5
adult_data_set,demographic_parity,0.5,0,True,LFR,24.781,0.0385,0.1388,5
adult_data_set,demographic_parity,0.5,0,True,DisparateImpactRemover,21.5999,8.8935,6.5428,5
adult_data_set,demographic_parity,0.5,0,True,Fair-SMOTE,29.0741,8.7277,8.3228,5
adult_data_set,demographic_parity,0.5,0,True,LTDD,22.3904,1.6832,3.8018,5
adult_data_set,demographic_parity,0.5,0,True,PrejudiceRemover,20.0217,23.8052,23.2693,5
adult_data_set,demographic_parity,0.5,0,True,GerryFairClassifier,21.9256,11.628,11.0703,5
adult_data_set,demographic_parity,0.5,0,True,AdversarialDebiasing,21.5999,2.9794,4.3734,5
adult_data_set,demographic_parity,0.5,0,True,ExponentiatedGradientReduction,22.4977,1.2579,3.446,5
adult_data_set,demographic_parity,0.5,0,True,GridSearchReduction,22.499,2.8367,3.8892,5
adult_data_set,demographic_parity,0.5,0,True,MetaFairClassifier,29.8588,5.4357,12.1815,5
adult_data_set,demographic_parity,0.5,0,True,FAGTB,23.239,1.0894,6.217,5
adult_data_set,demographic_parity,0.5,0,True,GradualCompatibility,24.8723,0.0,0.0,5
adult_data_set,demographic_parity,0.5,0,True,EqOddsPostprocessing,24.5117,0.9848,1.9459,5
adult_data_set,demographic_parity,0.5,0,True,CalibratedEqOddsPostprocessing,19.8509,23.6368,23.2311,5
adult_data_set,demographic_parity,0.5,0,True,JiangNachum,23.252,0.5758,4.0899,5
adult_data_set,demographic_parity,0.5,0,True,FaX,21.7751,6.7817,5.5797,5
acs2017_census,demographic_parity,0.5,0,True,Reweighing,10.3025,15.0005,2.0016,5
acs2017_census,demographic_parity,0.5,0,True,LFR,20.4125,2.8583,10.72,5
acs2017_census,demographic_parity,0.5,0,True,DisparateImpactRemover,10.6601,12.7569,4.1734,5
acs2017_census,demographic_parity,0.5,0,True,Fair-SMOTE,10.869,15.3684,2.4573,5
acs2017_census,demographic_parity,0.5,0,True,LTDD,13.4809,0.628,16.678,5
acs2017_census,demographic_parity,0.5,0,True,PrejudiceRemover,12.4881,14.6409,2.4767,5
acs2017_census,demographic_parity,0.5,0,True,GerryFairClassifier,11.0717,19.5668,5.6664,5
acs2017_census,demographic_parity,0.5,0,True,AdversarialDebiasing,10.1302,13.9684,2.577,5
acs2017_census,demographic_parity,0.5,0,True,ExponentiatedGradientReduction,12.9859,1.6637,15.1232,5
acs2017_census,demographic_parity,0.5,0,True,GridSearchReduction,13.6083,4.8358,17.0685,5
acs2017_census,demographic_parity,0.5,0,True,MetaFairClassifier,15.6153,9.0365,9.0411,5
acs2017_census,demographic_parity,0.5,0,True,FAGTB,18.3049,3.6092,15.6593,5
acs2017_census,demographic_parity,0.5,0,True,GradualCompatibility,10.8241,17.9505,3.0257,5
acs2017_census,demographic_parity,0.5,0,True,EqOddsPostprocessing,12.5898,15.7966,6.4701,5
acs2017_census,demographic_parity,0.5,0,True,CalibratedEqOddsPostprocessing,11.101,25.4243,10.9761,5
acs2017_census,demographic_parity,0.5,0,True,JiangNachum,15.2916,0.496,18.2516,5
acs2017_census,demographic_parity,0.5,0,True,FaX,10.056,18.3428,2.9935,5
communities,treatment_equality,0.5,0,True,Reweighing,18.0635,39.9987,40.7743,5
communities,treatment_equality,0.5,0,True,LFR,21.97,3.9458,6.802,5
communities,treatment_equality,0.5,0,True,DisparateImpactRemover,15.8931,3.9659,15.7139,5
communities,treatment_equality,0.5,0,True,Fair-SMOTE,18.5977,32.7018,34.9238,5
communities,treatment_equality,0.5,0,True,LTDD,22.237,68.6757,65.14,5
communities,treatment_equality,0.5,0,True,PrejudiceRemover,16.4942,11.7277,23.2477,5
communities,treatment_equality,0.5,0,True,FairnessConstraintModel,22.6712,47.8749,49.6713,5
communities,treatment_equality,0.5,0,True,DisparateMistreatmentModel,15.6928,7.5543,19.9381,5
communities,treatment_equality,0.5,0,True,GerryFairClassifier,34.2905,3.8496,5.8004,5
communities,treatment_equality,0.5,0,True,AdversarialDebiasing,16.0601,12.7489,18.611,5
communities,treatment_equality,0.5,0,True,ExponentiatedGradientReduction,26.9783,55.1377,49.8454,5
communities,treatment_equality,0.5,0,True,GridSearchReduction,16.3272,7.7387,18.6481,5
communities,treatment_equality,0.5,0,True,MetaFairClassifier,18.5644,5.0114,14.2798,5
communities,treatment_equality,0.5,0,True,FAGTB,18.5643,0.5966,16.2435,5
communities,treatment_equality,0.5,0,True,FairGeneralizedLinearModel,17.4625,3.5299,15.6107,5
communities,treatment_equality,0.5,0,True,GradualCompatibility,16.2271,1.2565,12.8639,5
communities,treatment_equality,0.5,0,True,RejectOptionClassification,47.813,0.339,0.0967,5
communities,treatment_equality,0.5,0,True,EqOddsPostprocessing,27.7129,39.3449,39.6538,5
communities,treatment_equality,0.5,0,True,CalibratedEqOddsPostprocessing,17.8297,55.1552,54.0156,5
communities,treatment_equality,0.5,0,True,JiangNachum,14.8582,36.3985,35.7115,5
communities,treatment_equality,0.5,0,True,FaX,16.1937,11.2313,16.7852,5
compas,treatment_equality,0.5,0,True,Reweighing,32.4515,4.9617,11.1951,5
compas,treatment_equality,0.5,0,True,LFR,31.8467,0.1135,8.0717,5
compas,treatment_equality,0.5,0,True,DisparateImpactRemover,32.6135,16.7529,13.6153,5
compas,treatment_equality,0.5,0,True,Fair-SMOTE,33.3802,4.4044,12.5924,5
compas,treatment_equality,0.5,0,True,LTDD,32.8079,9.4953,16.2457,5
compas,treatment_equality,0.5,0,True,PrejudiceRemover,42.6675,7.1947,9.5933,5
compas,treatment_equality,0.5,0,True,FairnessConstraintModel,40.1835,6.3281,6.9782,5
compas,treatment_equality,0.5,0,True,DisparateMistreatmentModel,35.3133,10.089,5.8085,5
compas,treatment_equality,0.5,0,True,GerryFairClassifier,45.6371,6.399,4.9107,5
compas,treatment_equality,0.5,0,True,AdversarialDebiasing,32.2571,5.4423,12.7335,5
compas,treatment_equality,0.5,0,True,ExponentiatedGradientReduction,32.6783,10.8648,17.776,5
compas,treatment_equality,0.5,0,True,GridSearchReduction,35.0648,13.7188,10.2722,5
compas,treatment_equality,0.5,0,True,MetaFairClassifier,33.7366,19.2677,15.7659,5
compas,treatment_equality,0.5,0,True,FAGTB,33.2506,1.4994,12.3524,5
compas,treatment_equality,0.5,0,True,FairGeneralizedLinearModel,44.3953,0.9453,0.4695,5
compas,treatment_equality,0.5,0,True,GradualCompatibility,37.0625,3.8859,7.8025,5
compas,treatment_equality,0.5,0,True,RejectOptionClassification,44.568,2.3377,1.5117,5
compas,treatment_equality,0.5,0,True,EqOddsPostprocessing,36.6522,7.1526,13.1479,5
compas,treatment_equality,0.5,0,True,CalibratedEqOddsPostprocessing,32.6891,24.2703,20.2882,5
compas,treatment_equality,0.5,0,True,JiangNachum,32.4839,21.5618,16.3581,5
compas,treatment_equality,0.5,0,True,FaX,32.4083,21.1731,15.5512,5
german,treatment_equality,0.5,0,True,Reweighing,22.1333,15.3078,19.0941,5
german,treatment_equality,0.5,0,True,LFR,20.8666,0.2222,1.2644,5
german,treatment_equality,0.5,0,True,DisparateImpactRemover,22.0,11.1305,18.0847,5
german,treatment_equality,0.5,0,True,Fair-SMOTE,30.2,19.8196,22.3114,5
german,treatment_equality,0.5,0,True,LTDD,22.4,18.6866,21.8592,5
german,treatment_equality,0.5,0,True,PrejudiceRemover,21.6001,11.9387,16.8483,5
german,treatment_equality,0.5,0,True,FairnessConstraintModel,21.8001,11.8652,16.9611,5
german,treatment_equality,0.5,0,True,DisparateMistreatmentModel,21.9334,9.1729,15.7994,5
german,treatment_equality,0.5,0,True,GerryFairClassifier,22.5333,6.2223,10.8781,5
german,treatment_equality,0.5,0,True,AdversarialDebiasing,21.8001,2.8466,12.9379,5
german,treatment_equality,0.5,0,True,ExponentiatedGradientReduction,21.4666,5.9149,12.0405,5
german,treatment_equality,0.5,0,True,GridSearchReduction,21.8667,10.9098,18.2445,5
german,treatment_equality,0.5,0,True,MetaFairClassifier,21.8,4.0958,8.7714,5
german,treatment_equality,0.5,0,True,FAGTB,21.8667,0.111,2.0634,5
german,treatment_equality,0.5,0,True,FairGeneralizedLinearModel,22.1333,0.0,0.0,5
german,treatment_equality,0.5,0,True,GradualCompatibility,21.6001,0.0202,1.0116,5
german,treatment_equality,0.5,0,True,RejectOptionClassification,35.7332,8.3506,23.2074,5
german,treatment_equality,0.5,0,True,EqOddsPostprocessing,25.2001,9.3753,18.2507,5
german,treatment_equality,0.5,0,True,CalibratedEqOddsPostprocessing,21.8,18.0217,20.1043,5
german,treatment_equality,0.5,0,True,JiangNachum,21.6,12.0743,18.52,5
german,treatment_equality,0.5,0,True,FaX,22.2001,15.4721,18.9587,5
credit_card_clients,treatment_equality,0.5,0,True,Reweighing,19.1088,0.8894,2.5667,5
credit_card_clients,treatment_equality,0.5,0,True,LFR,19.0889,0.2001,2.1144,5
credit_card_clients,treatment_equality,0.5,0,True,DisparateImpactRemover,19.0223,0.64,2.7264,5
credit_card_clients,treatment_equality,0.5,0,True,Fair-SMOTE,22.0579,20.8833,20.6515,5
credit_card_clients,treatment_equality,0.5,0,True,LTDD,19.1178,1.6552,2.8827,5
credit_card_clients,treatment_equality,0.5,0,True,PrejudiceRemover,19.3112,0.3822,2.6423,5
credit_card_clients,treatment_equality,0.5,0,True,FairnessConstraintModel,19.2556,0.5974,1.9834,5
credit_card_clients,treatment_equality,0.5,0,True,DisparateMistreatmentModel,19.1933,0.4288,1.9211,5
credit_card_clients,treatment_equality,0.5,0,True,GerryFairClassifier,20.2622,2.3104,1.2318,5
credit_card_clients,treatment_equality,0.5,0,True,AdversarialDebiasing,18.3355,1.4473,5.1947,5
credit_card_clients,treatment_equality,0.5,0,True,ExponentiatedGradientReduction,19.0622,0.871,2.0629,5
credit_card_clients,treatment_equality,0.5,0,True,GridSearchReduction,19.2867,0.2479,1.7957,5
credit_card_clients,treatment_equality,0.5,0,True,MetaFairClassifier,18.7667,2.0888,4.2073,5
credit_card_clients,treatment_equality,0.5,0,True,FAGTB,18.4911,0.2905,5.8952,5
credit_card_clients,treatment_equality,0.5,0,True,GradualCompatibility,39.2177,0.389,4.4955,5
credit_card_clients,treatment_equality,0.5,0,True,RejectOptionClassification,20.0022,5.3808,6.8982,5
credit_card_clients,treatment_equality,0.5,0,True,EqOddsPostprocessing,19.76,1.9898,4.3384,5
credit_card_clients,treatment_equality,0.5,0,True,CalibratedEqOddsPostprocessing,20.0645,11.3521,7.5692,5
credit_card_clients,treatment_equality,0.5,0,True,JiangNachum,19.1088,4.1469,2.9942,5
credit_card_clients,treatment_equality,0.5,0,True,FaX,19.0445,1.4403,2.0156,5
adult_data_set,treatment_equality,0.5,0,True,Reweighing,21.6782,31.081,12.6603,5
adult_data_set,treatment_equality,0.5,0,True,LFR,24.2351,0.6458,0.4724,5
adult_data_set,treatment_equality,0.5,0,True,DisparateImpactRemover,21.597,19.4853,11.9608,5
adult_data_set,treatment_equality,0.5,0,True,Fair-SMOTE,28.9886,17.283,13.8329,5
adult_data_set,treatment_equality,0.5,0,True,LTDD,22.3904,38.2633,19.2222,5
adult_data_set,treatment_equality,0.5,0,True,PrejudiceRemover,20.0217,33.1665,26.7635,5
adult_data_set,treatment_equality,0.5,0,True,GerryFairClassifier,21.9256,14.2275,11.4574,5
adult_data_set,treatment_equality,0.5,0,True,AdversarialDebiasing,20.6211,19.0546,8.4297,5
adult_data_set,treatment_equality,0.5,0,True,ExponentiatedGradientReduction,22.5527,36.1736,18.2328,5
adult_data_set,treatment_equality,0.5,0,True,GridSearchReduction,21.4001,28.5829,11.1666,5
adult_data_set,treatment_equality,0.5,0,True,MetaFairClassifier,25.6715,6.1801,12.2798,5
adult_data_set,treatment_equality,0.5,0,True,FAGTB,22.7974,12.7269,9.0204,5
adult_data_set,treatment_equality,0.5,0,True,GradualCompatibility,24.587,6.0424,1.3097,5
adult_data_set,treatment_equality,0.5,0,True,EqOddsPostprocessing,24.4973,6.2012,7.4391,5
adult_data_set,treatment_equality,0.5,0,True,CalibratedEqOddsPostprocessing,19.9639,35.0148,27.8456,5
adult_data_set,treatment_equality,0.5,0,True,JiangNachum,19.9233,30.1428,24.7095,5
adult_data_set,treatment_equality,0.5,0,True,FaX,21.7751,21.8788,10.1427,5
acs2017_census,treatment_equality,0.5,0,True,Reweighing,10.3025,30.8724,15.839,5
acs2017_census,treatment_equality,0.5,0,True,LFR,19.2327,11.6632,12.8992,5
acs2017_census,treatment_equality,0.5,0,True,DisparateImpactRemover,10.1522,21.7862,12.3934,5
acs2017_census,treatment_equality,0.5,0,True,Fair-SMOTE,10.8508,27.4151,15.0603,5
acs2017_census,treatment_equality,0.5,0,True,LTDD,13.4809,78.7652,55.1394,5
acs2017_census,treatment_equality,0.5,0,True,PrejudiceRemover,10.1999,5.9427,6.2221,5
acs2017_census,treatment_equality,0.5,0,True,GerryFairClassifier,12.1801,5.2288,6.7848,5
acs2017_census,treatment_equality,0.5,0,True,AdversarialDebiasing,9.6278,9.944,11.6558,5
acs2017_census,treatment_equality,0.5,0,True,ExponentiatedGradientReduction,14.0154,69.3,45.5825,5
acs2017_census,treatment_equality,0.5,0,True,GridSearchReduction,10.3081,23.0785,10.0286,5
acs2017_census,treatment_equality,0.5,0,True,MetaFairClassifier,26.3101,0.8472,3.3587,5
acs2017_census,treatment_equality,0.5,0,True,FAGTB,10.9103,20.7573,19.8156,5
acs2017_census,treatment_equality,0.5,0,True,GradualCompatibility,10.7407,12.655,6.6228,5
acs2017_census,treatment_equality,0.5,0,True,EqOddsPostprocessing,12.721,22.4173,40.9197,5
acs2017_census,treatment_equality,0.5,0,True,CalibratedEqOddsPostprocessing,11.1331,19.4035,26.7937,5
acs2017_census,treatment_equality,0.5,0,True,JiangNachum,10.0339,3.6609,8.5617,5
acs2017_census,treatment_equality,0.5,0,True,FaX,10.056,14.6909,7.5315,5
communities,equalized_odds,0.5,0,True,Reweighing,18.0635,4.6466,17.0609,5
communities,equalized_odds,0.5,0,True,LFR,28.2137,3.4563,9.4166,5
communities,equalized_odds,0.5,0,True,DisparateImpactRemover,15.793,19.7878,20.9602,5
communities,equalized_odds,0.5,0,True,Fair-SMOTE,18.631,4.5188,16.4007,5
communities,equalized_odds,0.5,0,True,LTDD,22.237,16.0123,31.2877,5
communities,equalized_odds,0.5,0,True,PrejudiceRemover,21.1353,2.8159,12.7574,5
communities,equalized_odds,0.5,0,True,FairnessConstraintModel,22.6712,6.6102,19.4954,5
communities,equalized_odds,0.5,0,True,DisparateMistreatmentModel,17.3956,10.6491,15.7768,5
communities,equalized_odds,0.5,0,True,GerryFairClassifier,15.9266,25.4076,29.0509,5
communities,equalized_odds,0.5,0,True,AdversarialDebiasing,16.3939,15.9863,19.2429,5
communities,equalized_odds,0.5,0,True,ExponentiatedGradientReduction,17.0618,3.858,14.0624,5
communities,equalized_odds,0.5,0,True,GridSearchReduction,16.561,15.2088,19.4189,5
communities,equalized_odds,0.5,0,True,MetaFairClassifier,21.9699,13.7638,14.7191,5
communities,equalized_odds,0.5,0,True,FAGTB,21.3356,2.089,14.5278,5
communities,equalized_odds,0.5,0,True,FairGeneralizedLinearModel,15.3924,14.7031,19.6736,5
communities,equalized_odds,0.5,0,True,GradualCompatibility,19.1653,10.4436,13.4108,5
communities,equalized_odds,0.5,0,True,RejectOptionClassification,43.6393,5.1622,2.9427,5
communities,equalized_odds,0.5,0,True,EqOddsPostprocessing,27.1453,4.3903,17.967,5
communities,equalized_odds,0.5,0,True,CalibratedEqOddsPostprocessing,17.863,47.8025,48.1034,5
communities,equalized_odds,0.5,0,True,JiangNachum,20.1668,3.4313,8.0387,5
communities,equalized_odds,0.5,0,True,FaX,16.1937,14.727,17.5238,5
compas,equalized_odds,0.5,0,True,Reweighing,32.4515,6.2165,5.6935,5
compas,equalized_odds,0.5,0,True,LFR,32.6459,2.8525,9.8239,5
